title,authors,average_rating
Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5.0
Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5.0
Winchester Shotguns,Dennis Adler/R.L. Wilson,5.0
Taxation of Mineral Rents,Ross Garnaut,5.0
The New Big Book of America,Todd Davis/Marc Frey,5.0
Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,5.0
Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner,5.0
The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5.0
Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5.0
Existential Meditation,Simon Cleveland,4.91
