title,language,num_pages
Timbuktu / Leviathan / Moon Palace,fre,1075
Da Vinci Code (Robert Langdon  #2),fre,744
Endymion,fre,572
V.,fre,640
Ángeles y demonios (Robert Langdon  #1),spa,508
El Coleccionista De Huesos (Lincoln Rhyme  #1),spa,640
Hyperion (Los Cantos de Hyperion  #1),spa,618
El código Da Vinci (Robert Langdon  #2),spa,557
Chamán (Familia Cole  #2),spa,768
L'Échiquier du mal,fre,999
Dreamcatcher,fre,688
Los Versos Satánicos,spa,679
El nombre de la rosa,spa,782
Insomnia,spa,890
El Clan Del Oso Cavernario,spa,548
